Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	98	1.9003296490207484	4.27E-15	"P19419, P49815, P62753, P53779, P10398, O15524, P17081, Q8WXH5, O15530, O14654, Q16822, P01308, P06213, P36507, P15056, O75955, P98077, Q9BUB5, Q9HBH9, Q07889, Q92529, P45984, Q07890, O14508, P45983, P22681, O14920, Q02750, Q9UPT5, P13861, P10644, Q9Y243, P41743, P10586, Q13905, P31751, P28482, P11216, P42345, Q9Y478, Q13131, Q14254, P46020, P49327, P27361, P19367, P18031, Q9Y4H2, P04049, Q13085, P42338, P42336, P01116, Q96BU6, P31749, P46019, P01112, O14492, P06737, Q12778, P35568, O15357, P62136, P27986, P36956, Q92569, P62993, Q15382, P17612, P13807, P29353, Q9UBK2, P49841, Q13191, P35575, Q05469, Q92574, O00459, Q9UBS0, O14543, P36873, P23443, Q15642, Q9UQK1, P62158, P46109, P46108, Q8WYR1, Q9BX66, P31321, Q13541, P35558, O60573, P06730, P14672, Q9ULV8, Q8N122, P15735, Q05513"	2604	138	6910	1.884447561	1.25E-12	1.14E-13	5.63E-12
KEGG_PATHWAY	hsa05211:Renal cell carcinoma	56	1.0859026565832848	6.38E-15	"Q15369, P27540, Q99814, P10398, P11166, P27986, Q92569, P62993, Q15370, Q13617, P36507, Q9H6Z9, P15056, Q13153, P40337, Q07889, P63000, P05412, Q9GZT9, P01135, Q9P286, P15692, Q07890, O00459, P01137, P60953, P08581, Q92793, Q02750, P61812, Q9Y243, Q13905, P46109, Q06124, P62877, P31751, P28482, P46108, P61224, P62834, Q09472, Q8WYR1, Q9HBZ2, O96013, Q16665, P27361, Q13177, Q8NFG4, Q13480, P04049, P42338, P42336, P07954, P01116, P31749, P01112"	2604	65	6910	2.286186931	1.88E-12	1.57E-13	8.45E-12
KEGG_PATHWAY	hsa05161:Hepatitis B	101	1.9585030056234247	1.19E-14	"P24385, Q9UHD2, Q14289, P19419, O00571, O00206, P53779, P38936, P36507, P98160, P55211, P10415, P06400, Q14790, P25963, P20248, Q7Z434, P58753, Q07812, O95786, Q04206, P45984, P45985, O60603, P46527, P01137, P45983, P32881, Q99836, O14920, P17252, Q92793, Q02750, Q14164, P61812, Q92985, Q9Y243, P27348, P31751, P28482, P01106, P01100, P63104, Q13233, P78396, O43504, P27361, P24941, Q14653, P99999, P04049, P42338, P11802, P42336, P25445, P01116, P31749, P40763, P01112, P36897, P42224, P12931, O96020, P31946, Q8IUC6, P42226, P42229, P27986, Q92569, P62993, O43889, O15455, Q00534, Q9BYX4, P17181, P05771, P48023, P04637, P05412, P60484, O00459, P05015, Q9Y277, P01569, P01375, O15111, P51692, Q13158, P12004, Q9Y6K9, P23458, Q09472, P18848, Q8WYR1, P05129, P15336, P19838, Q92851, O15392, Q13485, P42574"	2604	145	6910	1.848376503	3.53E-12	2.71E-13	1.59E-11
KEGG_PATHWAY	hsa04141:Protein processing in endoplasmic reticulum	112	2.1718053131665696	7.85E-14	"P17655, Q07065, P54252, P55735, Q12907, P53779, Q9NZL4, P61077, P11142, Q99683, O94855, Q9UHD9, Q9BQE4, Q96GF1, P10415, Q15011, Q9H3Z4, Q5SQT9, Q8NBS9, O60884, Q96LR5, Q9UKV5, P08238, Q07812, P62253, P45984, P07237, P45983, P34931, P62837, Q96IV0, Q9Y385, Q9UMX0, O94979, P13667, Q9NXW2, P02511, P14625, O95757, O95816, P53992, P11021, P55072, P17066, Q9UGP8, P30101, P27824, O60260, P19525, Q92890, P07384, Q12933, P30040, Q9Y263, P61803, Q15084, Q13438, Q9H9S3, P05198, O14733, Q92598, Q9BUN8, P51965, P31689, P60604, P39656, Q86TM6, Q9UNZ2, Q9UK22, Q9P2K8, Q13616, P04843, P51572, Q9Y2X8, P04844, P51571, P49257, Q8N2K1, P61619, Q8TAT6, Q15629, Q13724, Q9UBS4, Q9BZV1, O95155, P51668, P27797, P25685, P07900, P62877, Q9NRD1, Q9UBV2, Q9UNL2, Q99933, Q9NR31, Q9NRR5, P18848, P54652, P43307, Q9NYU1, Q16611, Q99942, O95487, Q15437, Q15436, Q9NYU2, Q14697, P60468, Q8NHG7, Q9Y4L1, P18850, Q9UNE7, O95486"	2604	169	6910	1.758605332	2.33E-11	1.67E-12	1.05E-10
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	59	1.1440760131859609	8.87E-14	"P24385, P36897, Q92769, P42771, P10398, P42229, P56545, P27986, P11274, P62993, Q92569, Q00987, Q00534, P38936, P36507, P29353, P15056, P06400, P98077, P25963, Q13191, P00519, Q07889, P04637, P37173, Q92529, Q04206, Q07890, O00459, P01137, P46527, P22681, O14920, Q02750, P61812, O15111, Q13547, Q9Y243, P46109, P51692, Q06124, P31751, P28482, P01106, P46108, Q9Y6K9, Q9UQC2, Q8WYR1, P27361, P19838, P04049, Q9ULV8, P42338, Q13485, P11802, P42336, P01116, P31749, P01112"	2604	72	6910	2.174485834	2.63E-11	1.76E-12	1.18E-10
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	76	1.473725033934458	3.16E-13	"Q99558, Q08209, P53778, O43318, P27986, P29350, P62993, Q92569, O15530, Q15759, P36507, O15264, Q13153, P08575, P49841, Q13191, P25963, P16410, P52735, Q96D37, O75791, O43561, Q07889, Q08881, P05412, P04234, P15498, P61586, Q9P286, Q04206, Q07890, O00459, Q16539, Q12959, P01732, P20963, O43639, P06239, P60953, P22681, P01730, O14920, P01375, Q02750, Q9UDY8, O15111, Q9Y243, Q13094, Q9UKW4, P43403, P31751, P28482, P06241, P29965, P01100, Q9Y6K9, P10747, P41279, Q8WYR1, Q15653, O96013, P48454, P19174, P27361, Q13177, P19838, P10966, P04049, Q9ULV8, P42338, P11802, P42336, P01116, P16333, O14733, P31749, P01112"	2604	103	6910	1.95800337	9.38E-11	5.86E-12	4.21E-10
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	131	2.5402365716501842	4.50E-13	"Q8WWW0, P53778, Q9UBY5, O95398, P55196, Q02763, P07737, Q15139, P15153, O60716, P41134, P01308, Q7LDG7, P06213, P36507, P15056, Q8WZA2, Q9Y490, P05556, Q7Z5R6, P04085, Q13009, P61586, P01133, Q16539, O15117, O43320, P01138, P60953, Q96QZ7, Q9NQ66, P17252, Q05586, Q9Y4G8, Q02750, Q5TCQ9, P35222, Q9HBW0, Q9Y243, Q13905, Q13094, P41743, P09619, P31751, P21802, P28482, P46734, P62834, P61224, Q5JWF2, P08754, Q9P212, P19174, P27361, P04049, P09603, Q8N1I0, P42338, P09471, P42336, P63261, P10301, Q13224, P01116, P00533, P61328, P31749, P01112, Q8TEU7, P05019, Q8IV61, P12931, P08138, P16234, P60709, P21462, Q01970, Q12879, Q59EW6, Q92565, Q86WV1, P27986, P11233, P12830, Q92569, Q15759, O15264, O94887, O00522, O43566, P17948, P05771, P05107, O43561, P05106, Q9BYG5, P63000, P08069, P35968, P20701, Q9BZL6, P15692, P49763, O00459, P25116, P29317, P49765, P07333, P11362, P08581, P29275, P29274, P04899, Q8TEW0, P62158, Q96RI0, P56945, P46109, Q12967, P07996, Q86UL8, P46108, Q8WYR1, P05129, P50148, P10721, P40145, P47736, P50552, P35080, P52803, Q05513"	2604	210	6910	1.655347085	1.34E-10	7.87E-12	6.01E-10
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	65	1.2604227263913128	5.45E-13	"O14495, P23528, O15357, Q02156, P27986, Q92569, P15153, P53667, P16885, Q8TDY4, O00401, P49418, Q9BPX5, Q13153, P08575, P52735, P31995, O15511, O43150, Q96D37, P05771, P31994, O00499, O43561, P63000, Q13393, Q92835, P15498, O00459, Q9UBS0, P60953, P23443, P17252, Q02750, P49006, P14598, Q9Y243, P46109, Q9UKW4, P31751, P43405, P28482, P08631, P46108, P07948, Q9UQC2, P42768, Q8WYR1, Q9ULH1, O15144, O15145, O15143, P05129, P19174, P27361, Q05655, O14939, Q9NYA1, P04049, Q99755, P50552, P06396, P42338, P42336, P62330, O60331, P31749"	2604	84	6910	2.05338856	1.62E-10	8.99E-12	7.27E-10
KEGG_PATHWAY	hsa04917:Prolactin signaling pathway	57	1.1052937754508436	1.25E-12	"P24385, P42224, P12931, Q9Y6Q6, O14788, P53778, P53779, P42229, O75159, O15524, P07101, P27986, P11168, O14512, Q8WXH5, P62993, Q92569, Q15759, P01308, P36507, P29353, O15264, P98077, P49841, Q07889, Q9NSE2, O43524, Q92731, Q92529, Q04206, P45984, Q07890, Q16539, O00459, O14508, O14543, P45983, Q02750, Q9Y243, O60674, P51692, P31751, P28482, P01100, Q8WYR1, P27361, P19838, P04049, P03372, P42338, P42336, P22888, P01116, P05814, P31749, P40763, P01112"	2604	71	6910	2.130362822	3.72E-10	1.96E-11	1.67E-09
KEGG_PATHWAY	hsa05212:Pancreatic cancer	53	1.027729299980609	2.92E-12	"P24385, P36897, P42224, P42771, P53779, P10398, P84022, P27986, P11233, Q92569, P15153, Q00534, P55211, P15056, P06400, P63000, P04637, P37173, P01135, Q04206, P45984, P15692, P01133, O00459, P01137, P45983, P60953, O14920, Q02750, P61812, O15111, Q9Y243, Q15311, Q15052, P04626, P31751, P28482, Q12967, Q9Y6K9, P23458, Q8WYR1, P27361, P19838, P04049, Q15796, P42338, Q13485, P11802, P42336, P01116, P00533, P31749, P40763"	2604	65	6910	2.163712631	8.69E-10	4.34E-11	3.90E-09
KEGG_PATHWAY	hsa03010:Ribosome	91	1.7645918169478378	9.95E-12	"Q9BQ48, P36578, P61513, P62750, P62277, Q07020, P62753, P27635, P08865, P62273, P82675, P32969, P62280, P62899, P18621, P62424, P62269, P62857, P61247, P52815, P62829, Q9Y399, P47914, Q7Z7H8, P63220, P61313, P62263, P23396, P62854, P62851, P15880, P49207, P39019, P62910, P62913, P61927, Q75MH1, Q9BYC9, P61254, P62917, Q9Y3B7, Q02878, P82932, P49406, P09001, P39023, P18124, Q92901, P46776, P46777, P35268, P46778, P46779, P62945, P63173, P30050, P62249, P62979, Q9BYD6, P84098, P62906, P62241, Q7Z4P3, Q9P0M9, P62244, P46782, P62701, P46781, P60866, Q6FGH5, P46783, Q9NVS2, P05387, P05386, Q9NZE8, P42766, P05388, P83731, P62081, P25398, Q96A35, P62987, P08708, Q13084, P62888, P62841, P42677, P50914, P18077, P40429, Q9Y3U8, P26373, P62847"	2604	136	6910	1.775577166	2.96E-09	1.41E-10	1.33E-08
KEGG_PATHWAY	hsa05214:Glioma	52	1.0083381811130503	1.86E-11	"P24385, P05019, P16234, P42771, P10398, P27986, Q00987, Q92569, P62993, P16885, Q9UQM7, Q00534, P38936, P36507, P29353, P15056, P06400, P98077, P05771, P04085, Q07889, P04637, P08069, Q92529, P01135, Q13555, Q07890, P01133, Q13554, P60484, O00459, Q13557, P17252, Q02750, P62158, Q9Y243, P09619, P31751, P28482, P42345, Q8WYR1, P05129, P19174, P27361, P04049, P42338, P11802, P42336, P01116, P00533, P31749, P01112"	2604	65	6910	2.122887865	5.52E-09	2.51E-10	2.48E-08
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	73	1.4155516773317822	4.94E-11	"P63151, P36897, P62714, Q9NWZ3, P30154, P30153, O00206, P53778, Q01970, O95837, P53779, Q8IUC6, P84022, Q9Y2T4, P27986, Q92569, P05121, Q15759, Q00005, O15264, P29992, O15519, Q14790, P02747, P25963, P02745, Q9NR96, P48023, P19438, P05412, P37173, P04234, P67775, Q04206, P45984, P45985, O60603, Q16539, O00459, P01137, P45983, P01584, P20963, Q99836, O14920, Q9NQ66, P30679, P27797, P01375, P35228, P61812, P04899, O15111, Q9Y243, P51617, Q13158, P31751, P28482, P01100, Q9Y4K3, Q9Y6K9, P08754, Q5JWF2, Q8WYR1, P50148, P27361, P19838, Q15796, P42338, P09471, P42336, P25445, P31749"	2604	104	6910	1.862629978	1.47E-08	6.38E-10	6.59E-08
