EntrezID	Uniprot ID	Gene	hsa04010: MAPK signaling pathway	hsa04066: HIF-1 signaling pathway	hsa05164: Influenza A	hsa04510: Focal adhesion	hsa04310: Wnt signaling pathway	hsa04151: PI3K-Akt signaling pathway	hsa04068: FoxO signaling pathway	hsa04014: Ras signaling pathway	hsa04015: Rap1 signaling pathway
2114	P15036	ETS2								Ras signaling	
2118	P43268	ETV4									
2119	P41161	ETV5									
2130	Q01844	EWSR1									
2137	O43909	EXTL3									
2146	Q15910	EZH2									
2147	P00734	F2									
2149	P25116	F2R						PI3K-Akt signaling			Rap1 signaling
2150	P55085	F2RL1									
2151	O00254	F2RL2									
2157	P00451	F8									
2161	P00748	F12									
2167	P15090	FABP4									
2170	P05413	FABP3									
2175	O15360	FANCA									
2177	Q9BXW9	FANCD2									
2181	O95573	ACSL3									
2182	O60488	ACSL4									
2184	P16930	FAH									
2185	Q14289	PTK2B									
2189	O15287	FANCG									
2193	Q9Y285	FARSA									
2194	P49327	FASN									
2206	Q01362	MS4A2									
2213	P31994	FCGR2B									
2214	P08637	FCGR3A									
2222	P37268	FDFT1									
2224	P14324	FDPS			Influenza A Signaling						
2237	P39748	FEN1									
2241	P16591	FER									
2242	P07332	FES									
2243	P02671	FGA									
2257	P61328	FGF12	MAPK signaling					PI3K-Akt signaling		Ras signaling	Rap1 signaling
2260	P11362	FGFR1	MAPK signaling					PI3K-Akt signaling		Ras signaling	Rap1 signaling
2263	P21802	FGFR2	MAPK signaling					PI3K-Akt signaling		Ras signaling	Rap1 signaling
2268	P09769	FGR									
2271	P07954	FH									
2272	P49789	FHIT									
2273	Q13642	FHL1									
2274	Q14192	FHL2									
2288	Q02790	FKBP4									
2289	Q13451	FKBP5									
2290	P55316	FOXG1							FoxO signaling		
2308	Q12778	FOXO1							FoxO signaling		
2309	O43524	FOXO3						PI3K-Akt signaling	FoxO signaling		
2316	P21333	FLNA	MAPK signaling			Focal adhesion					
2317	O75369	FLNB	MAPK signaling			Focal adhesion					
2318	Q14315	FLNC	MAPK signaling			Focal adhesion					
2319	Q14254	FLOT2									
2321	P17948	FLT1		HIF-1 signaling		Focal adhesion		PI3K-Akt signaling		Ras signaling	Rap1 signaling
2335	P02751	FN1				Focal adhesion		PI3K-Akt signaling			
2339	P49354	FNTA									
2342	P49356	FNTB									
2353	P01100	FOS	MAPK signaling								
2357	P21462	FPR1									Rap1 signaling
2475	P42345	MTOR		HIF-1 signaling				PI3K-Akt signaling			
2492	P23945	FSHR									
2494	O00482	NR5A2									
2495	P02794	FTH1									
2512	P02792	FTL									
2517	P04066	FUCA1									
2520	P01350	GAST									
2521	P35637	FUS									
2533	O15117	FYB									Rap1 signaling
2534	P06241	FYN				Focal adhesion					
2538	P35575	G6PC						PI3K-Akt signaling	FoxO signaling		
2547	P12956	XRCC6									
2549	Q13480	GAB1								Ras signaling	
2557	P48169	GABRA4									
2569	P24046	GABRR1									
2582	Q14376	GALE									
2584	P51570	GALK1									
2597	P04406	GAPDH		HIF-1 signaling							
2617	P41250	GARS									
2618	P22102	GART									
2626	P43694	GATA4									
2639	Q92947	GCDH									
2641	P01275	GCG									
2670	P14136	GFAP									
2673	Q06210	GFPT1									
2683	P15291	B4GALT1									
2686	Q9UJ14	GGT7									
2690	P10912	GHR						PI3K-Akt signaling			
2694	P27352	GIF									
2697	P17302	GJA1									
2719	P51654	GPC3									
2730	P48507	GCLM									
2740	P43220	GLP1R									
2744	O94925	GLS									
2752	P15104	GLUL									
2767	P29992	GNA11									
2768	Q03113	GNA12	MAPK signaling								
2769	P30679	GNA15									
2771	P04899	GNAI2									Rap1 signaling
2773	P08754	GNAI3									Rap1 signaling
2775	P09471	GNAO1									Rap1 signaling
2776	P50148	GNAQ									Rap1 signaling
2778	Q5JWF2	GNAS									Rap1 signaling
2779	P11488	GNAT1									
2780	P19087	GNAT2									
2781	P19086	GNAZ									
2782	P62873	GNB1						PI3K-Akt signaling		Ras signaling	
2783	P62879	GNB2						PI3K-Akt signaling		Ras signaling	
2797	O43555	GNRH2									
2799	P15586	GNS									
2805	P17174	GOT1									
2806	P00505	GOT2									
2810	P31947	SFN									
2817	P35052	GPC1									
2822	P80108	GPLD1									
2869	P34947	GRK5									
2870	P43250	GRK6									
2872	Q9HBH9	MKNK2	MAPK signaling	HIF-1 signaling							
2885	P62993	GRB2	MAPK signaling			Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	
2887	Q13322	GRB10									
2889	Q13905	RAPGEF1				Focal adhesion					Rap1 signaling
2890	P42261	GRIA1									
2891	P42262	GRIA2									
2900	Q16099	GRIK4									
2902	Q05586	GRIN1								Ras signaling	Rap1 signaling
2903	Q12879	GRIN2A								Ras signaling	Rap1 signaling
2904	Q13224	GRIN2B								Ras signaling	Rap1 signaling
2906	O15399	GRIN2D									
2908	P04150	NR3C1									
2909	Q9NRY4	ARHGAP35				Focal adhesion					
2923	P30101	PDIA3									
2932	P49841	GSK3B			Influenza A Signaling	Focal adhesion	Wnt signaling	PI3K-Akt signaling			
2934	P06396	GSN									
2935	P15170	GSPT1									
2936	P00390	GSR									
2938	P08263	GSTA1									
2940	Q16772	GSTA3									
2950	P09211	GSTP1									
2957	P52655	GTF2A1									
2960	P29083	GTF2E1									
2961	P29084	GTF2E2									
2962	P35269	GTF2F1									
2963	P13984	GTF2F2									
2969	P78347	GTF2I									
2983	Q02153	GUCY1B3									
2984	P25092	GUCY2C									
2997	P13807	GYS1						PI3K-Akt signaling			
3002	P10144	GZMB									
3012	P04908	HIST1H2AE									
3013	P20671	HIST1H2AD									
3014	P16104	H2AFX									
3015	P0C0S5	H2AFZ									
3018	P33778	HIST1H2BB									
3020	P84243	H3F3A									
3021	P84243	H3F3B									
3028	Q99714	HSD17B10									
3029	Q16775	HAGH									
3030	P40939	HADHA									
3032	P55084	HADHB									
3033	Q16836	HADH									
3035	P12081	HARS									
3039	P69905	HBA1									
3040	P69905	HBA2									
3053	P05546	SERPIND1									
3054	P51610	HCFC1									
3055	P08631	HCK									
3061	O43613	HCRTR1									
3064	P42858	HTT									
3065	Q13547	HDAC1									
3066	Q92769	HDAC2									
3073	P06865	HEXA									
3074	P07686	HEXB									
3075	P08603	CFH									
3084	Q02297	NRG1									
3091	Q16665	HIF1A		HIF-1 signaling							
3092	O00291	HIP1									
3093	P61086	UBE2K									
3098	P19367	HK1		HIF-1 signaling							
3105		HLA-A									
3106		HLA-B									
3107		HLA-C									
3113	P20036	HLA-DPA1			Influenza A Signaling						
3118	P01906	HLA-DQA2			Influenza A Signaling						
3119	P01920	HLA-DQB1			Influenza A Signaling						
3122	P01903	HLA-DRA			Influenza A Signaling						
3123	P01911	HLA-DRB1			Influenza A Signaling						
3133	P13747	HLA-E									
3135	P17693	HLA-G									
3141	P50747	HLCS									
3145	P08397	HMBS									
3146	P09429	HMGB1									
3158	P54868	HMGCS2									
3161	O75330	HMMR									
3163	P30519	HMOX2									
3164	P22736	NR4A1	MAPK signaling					PI3K-Akt signaling			
3172	P41235	HNF4A									
3174	Q14541	HNF4G									
3178	P09651	HNRNPA1									
3183	P07910	HNRNPC									
3190	P61978	HNRNPK									
3192	Q00839	HNRNPU									
3248	P15428	HPGD									
3250	P00739	HPR									
3251	P00492	HPRT1									
3265	P01112	HRAS	MAPK signaling			Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
3267	P52594	AGFG1			Influenza A Signaling						
3276	Q99873	PRMT1							FoxO signaling		
3295	P51659	HSD17B4									
3297	Q00613	HSF1									
3301	P31689	DNAJA1									
3304	P0DMV9	HSPA1B	MAPK signaling		Influenza A Signaling						
3305	P34931	HSPA1L	MAPK signaling		Influenza A Signaling						
3306	P54652	HSPA2	MAPK signaling		Influenza A Signaling						
3308	P34932	HSPA4									
3309	P11021	HSPA5									
3310	P17066	HSPA6	MAPK signaling		Influenza A Signaling						
3312	P11142	HSPA8	MAPK signaling		Influenza A Signaling						
3313	P38646	HSPA9									
3315	P04792	HSPB1	MAPK signaling								
3316	Q16082	HSPB2									
3320	P07900	HSP90AA1						PI3K-Akt signaling			
3326	P08238	HSP90AB1						PI3K-Akt signaling			
3329	P10809	HSPD1									
3337	P25685	DNAJB1			Influenza A Signaling						
3339	P98160	HSPG2									
3355	P30939	HTR1F									
3358	P28335	HTR2C									
3360	Q13639	HTR4									
3371	P24821	TNC				Focal adhesion		PI3K-Akt signaling			
3376	P41252	IARS									
3383	P05362	ICAM1			Influenza A Signaling						
3384	P13598	ICAM2									
3385	P32942	ICAM3									
3397	P41134	ID1									Rap1 signaling
3398	Q02363	ID2									
3400	P47928	ID4									
3416	P14735	IDE									
3418	P48735	IDH2									
3419	P50213	IDH3A									
3420	O43837	IDH3B									
3421	P51553	IDH3G									
3442	P01569	IFNA5			Influenza A Signaling			PI3K-Akt signaling			
3445	P32881	IFNA8			Influenza A Signaling			PI3K-Akt signaling			
3449	P05015	IFNA16			Influenza A Signaling			PI3K-Akt signaling			
3454	P17181	IFNAR1			Influenza A Signaling			PI3K-Akt signaling			
3467	P05000	IFNW1									
3479	P05019	IGF1		HIF-1 signaling		Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
3480	P08069	IGF1R		HIF-1 signaling		Focal adhesion		PI3K-Akt signaling	FoxO signaling	Ras signaling	Rap1 signaling
3481	P01344	IGF2									
3482	P11717	IGF2R									
3486	P17936	IGFBP3									
3516	Q06330	RBPJ									
3551	O14920	IKBKB	MAPK signaling		Influenza A Signaling			PI3K-Akt signaling	FoxO signaling	Ras signaling	
3553	P01584	IL1B	MAPK signaling		Influenza A Signaling						
3554	P14778	IL1R1	MAPK signaling								
3556	Q9NPH3	IL1RAP									
3559	P01589	IL2RA						PI3K-Akt signaling			
3560	P14784	IL2RB						PI3K-Akt signaling			
3566	P24394	IL4R						PI3K-Akt signaling			
3570	P08887	IL6R		HIF-1 signaling				PI3K-Akt signaling			
3574	P13232	IL7						PI3K-Akt signaling			
3575	P16871	IL7R						PI3K-Akt signaling	FoxO signaling		
3579	P25025	CXCR2									
3596	P35225	IL13									
3600	P40933	IL15									
3611	Q13418	ILK				Focal adhesion					
3615	P12268	IMPDH2									
3620	P14902	IDO1									
